run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale,enable_uncertainty_fusion,uncertainty_fusion_mode,uncertainty_conf_alpha,uncertainty_conf_trace_clip,uncertainty_conf_min,uncertainty_conf_max,uncertainty_status_min_conf,uncertainty_attention_bias_strength
uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b3p5,point_pillar_where2comm_our,pos_2p0_rot_14p0,True,2.0,14.0,28,uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b8p0,point_pillar_where2comm_our,pos_2p0_rot_14p0,True,2.0,14.0,28,uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b1p5,point_pillar_where2comm_our,pos_2p0_rot_14p0,True,2.0,14.0,28,uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b2p5,point_pillar_where2comm_our,pos_2p0_rot_14p0,True,2.0,14.0,28,uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b3p5,point_pillar_where2comm_our,pos_2p0_rot_14p0,True,2.0,14.0,28,uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_14p0__xyz2__ryp14__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b8p0,point_pillar_where2comm_our,pos_2p0_rot_14p0,True,2.0,14.0,28,uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_14p0__xyz2__ryp14__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p20_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b1p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p20_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p20_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b2p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p20_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p20_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b3p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p20_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p20_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b8p0,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p20_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p30_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b1p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p30_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p30_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b2p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p30_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p30_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b3p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p30_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p30_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b8p0,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p30_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p80_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b1p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p80_b1p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p80_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b2p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p80_b2p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p80_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b3p5,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p80_b3p5__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p80_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p80_b8p0,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,28,uncertainty_fusion_attbias_a0p80_b8p0__pos_only_0p2__xyz0p2__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p20_b1p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_only_1p0__xyz1__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b1p5,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,28,uncertainty_fusion_attbias_a0p20_b1p5__pos_only_1p0__xyz1__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p20_b2p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_only_1p0__xyz1__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b2p5,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,28,uncertainty_fusion_attbias_a0p20_b2p5__pos_only_1p0__xyz1__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p20_b3p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_only_1p0__xyz1__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b3p5,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,28,uncertainty_fusion_attbias_a0p20_b3p5__pos_only_1p0__xyz1__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p20_b8p0__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_only_1p0__xyz1__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p20_b8p0,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,28,uncertainty_fusion_attbias_a0p20_b8p0__pos_only_1p0__xyz1__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p30_b1p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_only_1p0__xyz1__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b1p5,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,28,uncertainty_fusion_attbias_a0p30_b1p5__pos_only_1p0__xyz1__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p30_b2p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_only_1p0__xyz1__ryp0__seed28,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_only_1p0__xyz1__ryp0__seed28/config.yaml,uncertainty_fusion_attbias_a0p30_b2p5,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,28,uncertainty_fusion_attbias_a0p30_b2p5__pos_only_1p0__xyz1__ryp0__seed28.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,2.5
